id,city.address,city.neighborhood,city.lat,city.lon,google.lat,google.lon,city_google.distance
3300,"AVENIDA WASHINGTON SOARES, 300",GUARARAPES,-3.757659,-38.488818,-3.75761945,-38.48879485,2.546475
3301,"AVENIDA WASHINGTON SOARES, SN",GUARARAPES,-3.758195,-38.48669,-3.75820325,-38.4866906,0.459885
3302,"AVENIDA WASHINGTON SOARES, 665",GUARARAPES,-3.758526,-38.485048,-3.7584564,-38.4854037,20.109303
3303,"AVENIDA WASHINGTON SOARES, SN",EDSON QUEIROZ,-3.763823,-38.482599,-3.76381885,-38.48258635,0.738747
3304,"AVENIDA WASHINGTON SOARES, 909",GUARARAPES,-3.762661,-38.482996,-3.76265915,-38.4829846,0.640754
3306,"AVENIDA DIOGUINHO, S/N",PRAIA DO FUTURO II,-3.759684,-38.444117,-3.75955555,-38.4442508,10.300527
3307,"AVENIDA DIOGUINHO, S/N",PRAIA DO FUTURO II,-3.759617,-38.44415,-3.75955555,-38.4442508,6.553207
3308,"AVENIDA DIOGUINHO, 5603",PRAIA DO FUTURO II,-3.761735,-38.44312,-3.76202315,-38.44298435,17.699925
3309,"AVENIDA DIOGUINHO, 5603",PRAIA DO FUTURO II,-3.761794,-38.443092,-3.76202315,-38.44298435,14.070482
331,"RUA PARAGUAÇU, 1341",SERRINHA,-3.7863,-38.539367,-3.7861239,-38.5392889,10.70655
3310,"RODOVIA BR 116, 4555",ALTO DA BALANÇA,-3.765284,-38.518152,-3.7651209,-38.5180752,10.019029
3311,"RODOVIA BR 116, S/R",AEROPORTO,-3.767513,-38.51792,-3.7674386,-38.5180902,10.308545
3312,"RODOVIA BR 116, 5239",ALTO DA BALANÇA,-3.767466,-38.517675,-3.7674386,-38.5180902,23.0845
3313,"RUA CAP VASCONCELOS, 420",ALTO DA BALANÇA,-3.766209,-38.516927,-3.76621355,-38.5169535,1.491756
3314,"RUA CAP ARAGAO, 183",ALTO DA BALANÇA,-3.765447,-38.516508,-3.76550115,-38.51635135,9.197241
3316,"RUA DJALMA PETIT, 352",ALTO DA BALANÇA,-3.766127,-38.515434,-3.76615255,-38.51542865,1.451191
3317,"RUA CAP ARAGAO, 361",ALTO DA BALANÇA,-3.765151,-38.514676,-3.7650771,-38.51455875,7.693671
3318,"RUA CAP ARAGAO, 367",ALTO DA BALANÇA,-3.765106,-38.514361,-3.7650771,-38.51455875,11.087708
332,"AVENIDA DEDE BRASIL, 3770",SERRINHA,-3.790261,-38.540554,-3.79027785,-38.54055665,0.948282
