stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,geometry,index_right,bairro
1906,,"RUA ANARIO BRAGA, 709",,-3.7372,-38.592256,,,0,,,,POINT (-38.592256 -3.7372),70.0,ANTÔNIO BEZERRA
1907,,"RUA MANUEL NUNES, 120",,-3.737248,-38.591463,,,0,,,,POINT (-38.591463 -3.737248),70.0,ANTÔNIO BEZERRA
1908,,"AVENIDA MISTER HULL, 5168",,-3.739399,-38.590584,,,0,,,,POINT (-38.590584 -3.739399),70.0,ANTÔNIO BEZERRA
1909,,"RUA MANUEL NUNES, 120",,-3.737108,-38.591144,,,0,,,,POINT (-38.591144 -3.737108),70.0,ANTÔNIO BEZERRA
191,,"RUA NEREU RAMOS, S/N",,-3.786274,-38.569486,,,0,,,,POINT (-38.569486 -3.786274),87.0,PARANGABA
1910,,"AVENIDA MIT HULL, 5151",,-3.739572,-38.590388,,,0,,,,POINT (-38.590388 -3.739572),70.0,ANTÔNIO BEZERRA
1914,,"RUA CEL JOAQUIM FRANKLIN, 911",,-3.743535,-38.595183,,,0,,,,POINT (-38.595183 -3.743535),70.0,ANTÔNIO BEZERRA
1915,,"RUA HIPOLITO PAMPLONA, 333",,-3.744114,-38.596253,,,0,,,,POINT (-38.596253 -3.744114),70.0,ANTÔNIO BEZERRA
1918,,"RUA PDE PERDIGAO SAMPAIO, 689",,-3.742909,-38.594235,,,0,,,,POINT (-38.594235 -3.742909),70.0,ANTÔNIO BEZERRA
1919,,"RUA HUGO VITOR, 319",,-3.742163,-38.591259,,,0,,,,POINT (-38.591259 -3.742163),70.0,ANTÔNIO BEZERRA
1920,,"RUA HUGO VITOR, 463",,-3.743887,-38.591016,,,0,,,,POINT (-38.591016 -3.743887),70.0,ANTÔNIO BEZERRA
1921,,"RUA TEN QUEIROZ, 497",,-3.745106,-38.590583,,,0,,,,POINT (-38.590583 -3.745106),70.0,ANTÔNIO BEZERRA
1922,,"RUA JOAQUIM NOGUEIRA, 655",,-3.745159,-38.589701,,,0,,,,POINT (-38.589701 -3.745159),70.0,ANTÔNIO BEZERRA
